Variable,"('is a value that can change, depending on conditions or on information passed to the program.', 'http://whatis.techtarget.com/definition/variable ')"
Function,"('a function is a rule which relates the values of one variable quantity to the values of another variable quantity, and does so in such a way that the value of the second variable quantity is uniquely determined by (i.e. is a function of) the value of the first variable quantity.', 'http://wmueller.com/precalculus/functions/1.html ')"
Parameter,"('in information technology, a parameter (pronounced puh-RAA-meh-tuhr , from Greek for, roughly, through measure ) is an item of information - such as a name, a number, or a selected option - that is passed to a program by a user or another program.', 'http://whatis.techtarget.com/definition/parameter ')"
Dictionary,"('a dictionary is a collection of words in one or more specific languages, often arranged alphabetically (or by radical and stroke for ideographic languages), which may include information on definitions, usage, etymologies, phonetics, pronunciations, translation, etc.[1] or a book of words in one language with their equivalents in another, sometimes known as a lexicon.[1] ', 'https://en.wikipedia.org/wiki/Dictionary ')"
Tuple,"('in programming languages, such as Lisp, Python, Linda, and others, a tuple (pronounced TUH-pul) is an ordered set of values. ', 'http://whatis.techtarget.com/definition/tuple ')"
Ascii table ,"('ASCII stands for American Standard Code for Information Interchange. Computers can only understand numbers, so an ASCII code is the numerical representation of a character such as 'a' or '@' or an action of some sort.', 'http://www.asciitable.com/ ')"
Argument,"('In programming, a value that you pass to a routine. For example, if SQRT is a routine that returns the square root of a value, then SQRT(25) would return the value 5. The value 25 is the argument.', 'http://www.webopedia.com/TERM/A/argument.html ')"
Module,"('a module is a part of a program. Programs are composed of one or more independently developed modules that are not combined until the program is linked.', 'http://www.webopedia.com/TERM/M/module.html ')"
Hashing,"('Producing hash values for accessing data or for security. A hash value (or simply hash) is a number generated from a string of text.', 'http://www.webopedia.com/TERM/H/hashing.html ')"
Parser,"('A parser is a compiler or interpreter component that breaks data into smaller elements for easy translation into another language.', 'https://www.techopedia.com/definition/3854/parser ')"
Python,"('is an interpreted, object-oriented, high-level programming language with dynamic semantics.', 'https://www.python.org/doc/essays/blurb/ ')"
Bug,"('A bug is a general term used to describe any unexpected problem with hardware or software.', 'http://www.computerhope.com/jargon/b/bug.htm ')"
Framework,"('When referring to computer software, a framework is a foundation with a specified level of complexity (based on user level) that a programmer may extend using their own code.', 'http://www.computerhope.com/jargon/f/framework.htm ')"
Hash,"('  hash definitionWhen referring to Perl, a hash is an associative array. Hashes have a % prefix and contain a listing of keys and values. Below is an example of a basic Perl hash.', 'http://www.computerhope.com/jargon/h/hash.htm ')"
Java,"('Originally known as oak, Java is a programming language developed by James Gosling and others at Sun Microsystems. It was first introduced to the public in 1995 and is widely used to create Internet applications and other software programs. ', 'http://www.computerhope.com/jargon/j/java.htm ')"
Library,"('In computer programming, a library refers to a collection of files, programs, routines, scripts, or functions that can be referenced within the programming code.', 'http://www.computerhope.com/jargon/l/library.htm ')"
Map,"('When referring to programming, or layout of a software program or hardware device, a map refers to the documentation that describes its overall structure.', 'http://www.computerhope.com/jargon/m/map.htm ')"
Operator,"('In computer programming and at the command line, an operator is an object that is capable of manipulating a value or operator. ', 'http://www.computerhope.com/jargon/o/operator.htm ')"

